filename,startTime,startDateTime,duration,distance,type,mode,splitDistance,restDuration,numLogs
20250516-154119.pb,1747410079,2025-05-16T18:41:19,18,0,,,0,0,11
20250516-154153.pb,1747410113,2025-05-16T18:41:53,3,0,,,0,0,2
20250516-155815.pb,1747411095,2025-05-16T18:58:15,6,0,,,0,0,3
20250530-073626.pb,1748590586,2025-05-30T10:36:26,213,251,,,0,0,157
20250530-075005.pb,1748591405,2025-05-30T10:50:05,24,0,,,0,0,15
20250530-075329.pb,1748591609,2025-05-30T10:53:29,5,0,,,0,0,3
20250530-075510.pb,1748591710,2025-05-30T10:55:10,7,0,,,0,0,4
20250530-080112.pb,1748592072,2025-05-30T11:01:12,7,0,,,0,0,4
20250530-080209.pb,1748592129,2025-05-30T11:02:09,6,0,,,0,0,3
20250530-080216.pb,1748592136,2025-05-30T11:02:16,95,0,,,0,0,49
20250530-080402.pb,1748592242,2025-05-30T11:04:02,0,0,,,0,0,0
20250530-080411.pb,1748592251,2025-05-30T11:04:11,0,0,,,0,0,0
20250530-080422.pb,1748592262,2025-05-30T11:04:22,0,0,,,0,0,0
20250606-133259.pb,1749216779,2025-06-06T16:32:59,1821,4498,FREE,,0,0,1197
20250607-100636.pb,1749290796,2025-06-07T13:06:36,313,963,FREE,,0,0,215
20250607-101224.pb,1749291144,2025-06-07T13:12:24,928,2617,FREE,,0,0,640
20250607-102907.pb,1749292147,2025-06-07T13:29:07,224,1001,,,0,0,155
20250612-133141.pb,1749735101,2025-06-12T16:31:41,35,56,FREE,,0,0,19
20250612-133332.pb,1749735212,2025-06-12T16:33:32,0,0,FREE,,0,0,0
20250612-133430.pb,1749735270,2025-06-12T16:34:30,1604,3394,FREE,,0,0,1016
